1,"round1","Sample","Biology","What is the most common term used in genetics to describe the observable physical characteri stics of an organism caused by the expression of a gene or set of genes?","Phenotype"
1,"round1","Sample","Biology","What is the biological term most often used for the act of a cell engulfing a particle by extending its pseudopodia (read as: SU -doe-POH-dee-ah) around the particle?","Phagocytosis"
2,"round1","Sample","Chemistry","An aqueous solution in which the concentration of OH – ions is greater than that of H+ ions is:\nW) basic\nX) acidic\nY) neutral\nZ) in equilibrium","W)  Basic"
2,"round1","Sample","Chemistry","Find the mass of 1 mole of cuprous oxide, or Cu ^2O. Assume the atomic mass of copper is 64 and oxygen is 16.","144"
3,"round1","Sample","Physics","What property of a sound wave is most commonly associated with loudness?","Amplitude"
3,"round1","Sample","Physics","What is the MOST common term for the behavior of light where it appears to bend around small obstacles or the spreading out of waves as light passes through pinholes or slits?","Diffraction"
4,"round1","Sample","Math","What term BEST describes 2 angles with 90º as the sum of their measurements?","Complementary"
5,"round1","Sample","Earth Science","The overall charge at the top and bottom, respectively, of a towering cumulonimbus cloud during a thunderstorm is:\nW) positive, positive\nX) positive, negative\nY) negative, positive\nZ) negative, negative","X)  Positive, Negative"
5,"round1","Sample","Earth Science","A lightning bolt is seen and its accompanying thunder is heard 15 seconds later. This means the storm is most likely how many miles away:\nW) 3\nX) 6\nY) 9\nZ) 15","W)  3"
6,"round1","Sample","General Science","How many significant figures are in the number 0.00750?","3"
6,"round1","Sample","General Science","Subtract the following 2 numbers and give your answer with the proper significant figures: 25.101 – 0.9608","24.140"
7,"round1","Sample","Astronomy","What is the proper name of the star that is most commonly noted to have coordinates closest to the north celestial pole?","North Star  (Accept:  Polaris or Alpha Ursa Minoris)"
7,"round1","Sample","Astronomy","What is the most well -known asterism in Ursa Major?","Big Dipper"
8,"round1","Sample","Biology","Human epidermis is mostly composed of which of the following basic animal tissues types:\nW) epithelial\nX) connective\nY) nervous\nZ) muscle","W)  Epithelial"
8,"round1","Sample","Biology","What are the 2 basic categories of lymphocyte cells?","T and B (Accept:  B and T Cells)"
9,"round1","Sample","Chemistry","Name all of the following 4 processes where latent heat is absorbed: evaporation; condensation; water melts; water freezes","Evaporation;  Water Melts"
10,"round1","Sample","Physics","Although not known as such at the time, what was the first form of spectacular electric discharge seen by humans?","Lightning"
10,"round1","Sample","Physics","A constant force acting on a body experiencing no change in its environment will g ive the body:\nW) constant acceleration\nX) constant speed\nY) constant velocity\nZ) zero acceleration","W)  Constant Acceleration"
11,"round1","Sample","Math","Simplify the following expression , where a is not equal to zero if b = 0 or if b = –1: (a^b^2 )(a^b)","A ^B^2+^b"
12,"round1","Sample","Earth Science","Which of the following is a sedimentary rock:\nW) slate\nX) marble\nY) basalt\nZ) sandstone","Z)  Sandstone"
12,"round1","Sample","Earth Science","Which of the following is LEAST accurate about minerals:\nW) calcite has a hardness of 3 on most of its surfaces but a hardness of 4 along the crystal face perpendicular to its long axis\nX) the Moh’s scale measures the absolute hardness of minerals\nY) a mineral’s chemical composition largely determines its crystal shape and cleavage pattern\nZ) a mineral’s color is the same as its streak","Z)  a Mineral’s Color Is the Same as Its Streak"
13,"round1","Sample","General Science","Which of the following is closest to the meaning of the suffix ‘lith’:\nW) outside\nX) stone\nY) side\nZ) surface","X)  Stone"
13,"round1","Sample","General Science","Rounded to the nearest whole number, how many feet does light travel in one-billionth of one second?","1"
14,"round1","Sample","Astronomy","What star has the greatest apparent magnitude?","Sun"
14,"round1","Sample","Astronomy","What planet is known to be most like Earth in size and density?","Venus"
15,"round1","Sample","Biology","How many embryonic seed leaves does a bean seedling have?","2"
15,"round1","Sample","Biology","Name all of the following 5 plants that are dicots: wheat; geranium; garlic; bamboo; ro se","Geranium;  Rose"
16,"round1","Sample","Chemistry","Which of the following is a metallic element, composes about 5% of the Earth’s crust, oxidizes very easily, and when pure is a dark, silver -grey metal:\nW) cobalt\nX) nickel\nY) iron\nZ) titanium","Y)  Iron"
16,"round1","Sample","Chemistry","In general, metals are relatively hard except for what group of metals in the Periodic Table?","One  (Accept:  Group 1a or Alkali Metals)"
17,"round1","Sample","Physics","Upon which of the following does the mass of a body MOST directly depend:\nW) its magnetic properties\nX) how much volume it has\nY) the amount of matter it contains\nZ) its location","Y)  the Amount of Matter It Contains"
17,"round1","Sample","Physics","Mary and Joe are on a merry-go-round. Mary is seated near the center of rotation and Joe is on the outer edge. Which of the following BEST describes their motion:\nW) Mary has a greater acceleration than Joe\nX) Joe has a greater accele ration than Mary\nY) neither Mary nor Joe are accelerating\nZ) both Mary and Joe have the same acceleration","X)  Joe Has a Greater Acceleration Than Mary"
18,"round1","Sample","Math","Giving your answer in terms of π and in inches, what is the arc-length of a semi-circle whose diameter is 18 inches?","9π\n(Solution: C = πD; ½(18π) = 9π)"
18,"round1","Sample","Math","What is the area, in square feet, of a triangle whose perpendicular height is 20 feet with a base of 12 feet?","120\n(Solution: A = ½ Bh = ½ (12)(20) = 120 Ft^2)"
19,"round1","Sample","Earth Science","Which of the following terms best describes the albedo of a planet:\nW) electromagnetic energy \nX) density\nY) reflectivity \nZ) absorption","Y)  Reflectivity"
19,"round1","Sample","Earth Science","Which of the following is NOT true of what occurs during an equinox:\nW) equal length of day and night except at the poles\nX) the Earth is not tilted with respect to the ecliptic\nY) the Sun is directly overhead at the equator\nZ) the Moon is directly overhead at the poles","Z)  the Moon Is Directly Overhead at the Poles"
20,"round1","Sample","General Science","What gas is most directly responsible for the bends or decompression sickness that divers may experience?","Nitrogen  (Accept:  N\n^2)"
20,"round1","Sample","General Science","In degrees Celsius to the nearest whole number, what is the normal core body temperature of a human being?","37"
21,"round1","Sample","Astronomy","What is the declination of the north celestial pole?","90  (Accept:  +90)"
21,"round1","Sample","Astronomy","The Sagittarius Arm is part of what galaxy?","The Milky Way"
